Region,"local authority: 
district / unitary",All Categories of people in employment,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach","Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Taxi,Bicycle,On foot,Other method of travel to work,Year
South East,Tunbridge Wells,"57,234","8,021",117,"8,121","1,296",346,"28,420","2,200",156,643,"7,690",224,"2,011"
South East,Vale of White Horse,"63,181","7,808",100,"1,369","3,625",622,"37,672","2,604",90,"3,907","5,157",227,"2,011"
South East,Waverley,"59,178","9,954",151,"6,402",980,404,"33,448","2,183",72,876,"4,439",269,"2,011"
South East,Wealden,"71,084","11,746",144,"4,742","1,383",411,"43,864","2,986",139,686,"4,673",310,"2,011"
South East,West Berkshire,"81,679","10,689",116,"3,791","2,918",494,"50,622","3,904",151,"2,064","6,644",286,"2,011"
South East,West Oxfordshire,"56,515","7,665",81,969,"2,398",482,"34,837","2,525",85,"2,234","5,038",201,"2,011"
South East,Winchester,"57,318","8,633",111,"3,134","1,625",427,"33,027","2,086",87,"1,103","6,744",341,"2,011"
South East,Windsor and Maidenhead,"73,951","10,898",335,"6,374",984,511,"43,781","2,549",298,"1,684","6,131",406,"2,011"
South East,Woking,"51,341","5,842",180,"7,922","1,159",386,"28,095","1,875",171,"1,339","4,181",191,"2,011"
South East,Wokingham,"81,377","10,842",153,"5,568","2,652",511,"52,016","2,800",138,"1,943","4,456",298,"2,011"
South East,Worthing,"50,611","5,271",59,"3,149","1,563",479,"27,755","2,553",156,"2,545","6,875",206,"2,011"
South East,Wycombe,"86,350","11,425",554,"4,138","3,353",529,"53,695","3,778",283,"1,094","7,163",338,"2,011"
South West,Bath and North East Somerset,"84,858","10,624",118,"2,882","5,380",876,"44,498","3,813",197,"2,451","13,636",383,"2,011"
South West,Bournemouth,"89,186","9,111",135,"1,467","7,685",989,"49,577","4,396",290,"4,169","10,919",448,"2,011"
South West,"Bristol, City of","209,995","17,841",272,"3,931","19,830","2,330","99,695","10,039",575,"15,768","38,832",882,"2,011"
South West,Cheltenham,"59,183","6,074",90,825,"3,304",418,"31,175","2,786",101,"3,805","10,390",215,"2,011"
South West,Christchurch,"20,301","2,530",19,419,733,240,"12,820",924,44,979,"1,504",89,"2,011"
South West,Cornwall,"244,527","38,596",208,"2,320","5,812","2,782","147,102","12,480",667,"3,777","28,952","1,831","2,011"
South West,Cotswold,"41,529","7,995",146,617,501,268,"24,532","1,785",69,829,"4,574",213,"2,011"
South West,East Devon,"59,908","10,081",77,"1,399","1,541",615,"34,845","2,792",145,"1,286","6,647",480,"2,011"
South West,East Dorset,"40,050","5,926",52,227,637,434,"28,091","1,670",52,957,"1,821",183,"2,011"
South West,Exeter,"57,139","4,825",52,"1,089","5,179",695,"25,758","2,979",195,"3,542","12,621",204,"2,011"
South West,Forest of Dean,"39,068","5,459",26,334,884,391,"26,174","2,144",43,446,"2,996",171,"2,011"
South West,Gloucester,"61,374","4,379",46,397,"4,513",666,"37,779","3,558",110,"3,035","6,676",215,"2,011"
South West,Isles of Scilly,"1,311",428,0,1,8,34,246,25,1,186,341,41,"2,011"
South West,Mendip,"53,845","8,580",77,429,979,398,"32,939","2,582",109,"1,166","6,365",221,"2,011"
South West,Mid Devon,"38,508","6,773",39,323,"1,102",360,"23,069","1,922",47,694,"3,994",185,"2,011"
South West,North Devon,"44,754","7,582",34,174,"1,496",424,"23,654","2,199",123,"1,524","7,303",241,"2,011"
South West,North Dorset,"33,432","5,280",63,397,360,234,"20,463","1,460",55,664,"4,289",167,"2,011"
South West,North Somerset,"97,563","11,734",98,"2,234","2,885",954,"62,805","5,002",349,"2,646","8,460",396,"2,011"
South West,Plymouth,"117,466","7,898",66,641,"12,991","2,256","65,103","7,110",743,"3,055","16,592","1,011","2,011"
South West,Poole,"71,709","7,451",104,"1,074","3,740","1,037","43,785","3,735",154,"3,393","6,859",377,"2,011"
South West,Purbeck,"21,419","3,125",27,398,377,274,"13,050","1,013",36,614,"2,351",154,"2,011"
South West,Sedgemoor,"54,540","7,155",35,394,772,549,"34,835","2,897",98,"2,469","5,116",220,"2,011"
South West,South Gloucestershire,"136,531","12,787",95,"1,621","6,645","1,874","90,569","6,809",212,"5,284","10,187",448,"2,011"
South West,South Hams,"39,999","7,824",65,516,873,441,"22,988","1,682",70,506,"4,632",402,"2,011"
South West,South Somerset,"78,771","10,536",111,451,"1,067",760,"48,980","4,160",135,"2,203","10,034",334,"2,011"
South West,Stroud,"57,342","8,194",74,749,"1,212",487,"37,822","2,843",72,"1,197","4,491",201,"2,011"
South West,Swindon,"109,499","8,849",84,"1,359","9,164","1,163","66,389","6,613",472,"4,592","10,395",419,"2,011"
South West,Taunton Deane,"54,244","6,661",57,597,"1,216",637,"30,563","2,816",93,"3,433","7,918",253,"2,011"
South West,Teignbridge,"58,962","8,611",51,"1,276","1,570",627,"36,612","2,976",111,952,"5,929",247,"2,011"
South West,Tewkesbury,"41,544","5,205",33,261,"1,860",452,"26,859","1,859",29,"1,778","3,068",140,"2,011"
South West,Torbay,"56,912","6,853",31,525,"2,469",864,"32,974","3,370",316,779,"8,413",318,"2,011"
South West,Torridge,"29,402","5,830",16,87,842,260,"16,961","1,470",65,365,"3,348",158,"2,011"
South West,West Devon,"25,241","5,245",31,162,556,185,"14,580","1,103",83,271,"2,856",169,"2,011"
South West,West Dorset,"45,714","8,174",93,498,752,406,"25,865","1,969",123,"1,087","6,487",260,"2,011"
South West,West Somerset,"15,355","3,885",17,72,314,99,"7,717",642,33,371,"2,123",82,"2,011"
South West,Weymouth and Portland,"29,987","2,987",23,371,"2,063",489,"16,928","1,684",104,"1,001","4,105",232,"2,011"
South West,Wiltshire,"239,216","32,701",352,"5,865","6,270","1,894","145,883","11,356",522,"6,638","26,680","1,055","2,011"
Wales,Anglesey,"30,431","4,026",20,199,795,217,"20,136","1,779",100,453,"2,465",241,"2,011"
Wales,Blaenau Gwent,"28,291","1,660",16,217,855,149,"19,640","2,778",154,134,"2,574",114,"2,011"
Wales,Bridgend,"61,259","4,813",46,"1,474","1,722",313,"42,315","4,470",364,503,"4,967",272,"2,011"
Wales,Caerphilly,"77,488","5,347",40,"2,950","2,971",411,"53,239","6,004",302,475,"5,469",280,"2,011"
Wales,Cardiff,"159,614","11,998",196,"5,197","15,947",655,"86,767","8,003",675,"5,791","23,644",741,"2,011"
Wales,Carmarthenshire,"80,680","11,630",58,778,"1,630",422,"53,340","5,247",206,615,"6,369",385,"2,011"
Wales,Ceredigion,"32,446","6,780",32,125,910,148,"17,917","1,652",98,361,"4,266",157,"2,011"
Wales,Conwy,"50,093","6,743",37,545,"2,130",273,"31,488","2,733",221,645,"4,954",324,"2,011"
Wales,Denbighshire,"41,156","5,136",26,429,"1,366",194,"25,901","2,625",245,633,"4,395",206,"2,011"
Wales,Flintshire,"74,049","6,577",44,640,"2,894",522,"51,486","4,848",319,"1,294","5,079",346,"2,011"
Wales,Gwynedd,"53,961","8,546",34,352,"2,379",264,"31,511","3,071",105,677,"6,724",298,"2,011"
Wales,Merthyr Tydfil,"25,099","1,680",24,460,"1,724",77,"15,788","2,620",209,80,"2,333",104,"2,011"
Wales,Monmouthshire,"42,817","6,619",61,857,563,341,"27,602","2,221",88,483,"3,792",190,"2,011"
Wales,Neath Port Talbot,"58,980","4,081",35,973,"1,948",455,"41,127","4,529",254,755,"4,539",284,"2,011"
Wales,Newport,"64,408","4,728",58,"1,312","5,009",430,"40,943","4,643",419,921,"5,652",293,"2,011"
Wales,Pembrokeshire,"54,217","9,395",41,214,"1,564",350,"33,210","3,323",195,435,"5,106",384,"2,011"
Wales,Powys,"63,653","13,621",54,364,667,218,"37,419","2,920",115,843,"7,097",335,"2,011"
Wales,"Rhondda, Cynon, Taff","99,327","6,778",61,"4,114","3,932",445,"67,154","7,995",217,441,"7,836",354,"2,011"
Wales,Swansea,"102,793","8,228",100,883,"5,791",610,"66,912","7,585",636,"1,485","9,997",566,"2,011"
Wales,The Vale of Glamorgan,"58,978","5,886",83,"3,450","1,681",328,"38,079","3,177",251,998,"4,701",344,"2,011"
Wales,Torfaen,"40,261","2,582",30,475,"1,892",301,"28,057","3,074",308,326,"3,089",127,"2,011"
Wales,Wrexham,"63,614","5,324",37,496,"3,361",397,"42,179","5,187",424,808,"5,128",273,"2,011"
North East,County Durham,"203,614","16,952",190,"1,062","15,327","1,256","121,690","21,599","1,230","1,888","21,178","1,242","2,001"
North East,Darlington,"42,993","3,553",35,482,"4,363",274,"24,105","3,477",419,949,"5,085",251,"2,001"
North East,Gateshead,"78,786","5,482","3,672",529,"13,723",480,"39,442","6,853",442,816,"6,972",375,"2,001"
North East,Hartlepool,"33,762","2,199",44,179,"2,831",245,"18,817","3,627",620,937,"3,935",328,"2,001"
North East,Middlesbrough,"49,317","3,185",46,316,"5,543",403,"27,088","4,852",434,"1,251","5,791",408,"2,001"
North East,Newcastle upon Tyne,"101,498","7,066","5,591",950,"19,156",487,"46,561","7,233",889,"1,781","11,235",549,"2,001"
North East,North Tyneside,"83,698","6,053","6,979","1,032","8,489",623,"43,032","7,037",835,"1,692","7,092",834,"2,001"
North East,Northumberland,"136,083","14,687",715,"1,132","8,331",891,"79,137","11,819",501,"2,176","15,519","1,175","2,001"
North East,Redcar and Cleveland,"54,295","3,898",48,656,"4,325",488,"32,677","4,951",267,"1,052","5,404",529,"2,001"
North East,South Tyneside,"58,899","3,743","3,983","1,059","7,442",434,"29,258","4,862",323,"1,143","5,543","1,109","2,001"
North East,Stockton-on-Tees,"75,904","5,449",61,460,"5,911",690,"47,679","6,767",346,"1,576","6,302",663,"2,001"
North East,Sunderland,"114,119","7,041",902,"1,262","17,783",696,"60,728","11,312",807,"1,525","11,215",848,"2,001"
North West,Allerdale,"41,814","5,117",16,172,"1,608",250,"24,272","3,811",139,672,"5,519",238,"2,001"
North West,Barrow-in-Furness,"28,849","1,958",12,413,"2,092",722,"14,317","2,531",277,"1,707","4,646",174,"2,001"
North West,Blackburn with Darwen,"53,575","4,355",32,504,"3,875",480,"30,589","4,946",918,622,"7,062",192,"2,001"
North West,Blackpool,"59,073","6,081",239,409,"5,743",639,"29,571","5,050",743,"1,885","8,287",426,"2,001"
North West,Bolton,"114,415","9,065",207,"2,740","9,121","1,184","68,431","9,436",878,"1,413","11,587",353,"2,001"
North West,Burnley,"38,098","2,806",18,188,"3,221",306,"21,533","4,056",258,430,"5,165",117,"2,001"
North West,Bury,"83,847","6,734","3,632",416,"6,064",704,"51,628","5,789",688,"1,047","6,847",298,"2,001"
North West,Carlisle,"46,858","4,645",18,179,"4,008",318,"25,440","3,507",203,"1,262","7,061",217,"2,001"
North West,Cheshire East,"169,143","18,422",184,"3,187","3,365","1,668","110,153","9,792",590,"5,767","15,270",745,"2,001"
North West,Cheshire West and Chester,"149,443","13,767",183,"1,838","6,388","1,595","96,271","10,284",839,"4,465","12,993",820,"2,001"
North West,Chorley,"49,200","4,583",27,864,"1,645",489,"32,233","3,595",198,865,"4,521",180,"2,001"
North West,Copeland,"29,222","2,562",14,404,"1,889",243,"17,277","3,120",133,455,"2,975",150,"2,001"
North West,Eden,"24,752","4,805",17,100,557,122,"13,536","1,438",81,330,"3,574",192,"2,001"
North West,Fylde,"32,215","3,156",27,359,"1,238",294,"19,968","2,095",146,"1,106","3,587",239,"2,001"
North West,Halton,"50,363","3,100",28,631,"3,584",539,"31,438","4,563",326,"1,023","4,923",208,"2,001"
North West,Hyndburn,"34,773","2,625",5,192,"2,333",345,"21,125","3,159",218,437,"4,233",101,"2,001"
North West,Knowsley,"54,351","2,966",108,"2,204","7,200",417,"29,320","4,886","1,055",904,"5,037",254,"2,001"
North West,Lancaster,"55,906","5,428",33,739,"3,114",696,"30,834","4,117",392,"2,150","8,017",386,"2,001"
North West,Liverpool,"154,817","8,700",618,"4,636","32,835",923,"73,707","11,629","1,939","2,686","16,393",751,"2,001"
North West,Manchester,"142,449","9,318","1,792","1,924","31,599",805,"64,769","9,181","1,676","4,610","16,163",612,"2,001"
North West,Oldham,"92,775","7,215",161,"1,325","10,436",611,"52,682","7,980",910,"1,006","10,115",334,"2,001"
North West,Pendle,"37,042","3,011",9,164,"2,377",238,"21,705","3,268",268,591,"5,253",158,"2,001"
North West,Preston,"56,203","4,138",37,403,"6,307",508,"31,375","4,189",287,"1,463","7,258",238,"2,001"
North West,Ribble Valley,"26,407","3,425",8,176,573,231,"17,022","1,492",52,522,"2,785",121,"2,001"
North West,Rochdale,"86,867","6,728",214,"1,208","7,771",712,"50,757","7,349","1,418","1,043","9,323",344,"2,001"
North West,Rossendale,"29,877","2,651",39,94,"2,074",265,"19,124","2,353",109,211,"2,857",100,"2,001"
North West,Salford,"89,920","6,630","1,025",966,"10,563",815,"48,867","7,207","1,338","2,042","10,134",333,"2,001"
North West,Sefton,"116,315","8,734",350,"6,765","9,282",944,"65,043","8,347","1,775","3,365","11,096",614,"2,001"
North West,South Lakeland,"48,413","7,309",34,442,951,486,"26,381","2,995",175,"1,505","7,783",352,"2,001"
North West,South Ribble,"51,327","4,168",10,509,"2,962",685,"33,149","3,774",183,"2,008","3,712",167,"2,001"
North West,St. Helens,"73,076","4,805",39,"1,597","5,749",710,"45,838","6,145",459,"1,152","6,331",251,"2,001"
North West,Stockport,"136,059","11,967",151,"4,751","11,576","1,006","84,432","7,712",507,"2,540","10,953",464,"2,001"
North West,Tameside,"96,254","7,444",111,"2,156","11,825",935,"54,155","7,131",635,"1,507","10,080",275,"2,001"
North West,Trafford,"99,146","8,609","4,954",888,"6,976",667,"59,903","5,545",549,"2,988","7,624",443,"2,001"
North West,Warrington,"91,286","7,541",157,"1,128","4,775","1,028","60,413","5,972",414,"2,936","6,599",323,"2,001"
North West,West Lancashire,"48,842","4,715",45,"1,086","1,380",426,"30,802","3,887",678,"1,020","4,537",266,"2,001"
North West,Wigan,"135,615","9,710",44,"2,044","9,029","1,423","84,708","12,045",758,"2,386","13,073",395,"2,001"
North West,Wirral,"126,397","8,979","1,135","6,126","10,267","1,799","73,632","9,713",938,"2,298","10,497","1,013","2,001"
North West,Wyre,"45,036","4,502",222,429,"1,915",503,"27,980","3,470",250,"1,542","3,850",373,"2,001"
Yorkshire and The Humber,Barnsley,"88,762","6,577",58,"1,042","7,002","1,002","53,529","7,982",399,734,"10,186",251,"2,001"
Yorkshire and The Humber,Bradford,"191,250","15,673",197,"6,083","22,169","1,324","105,952","15,456","1,489","1,481","20,686",740,"2,001"
Yorkshire and The Humber,Calderdale,"88,038","7,703",52,"1,811","9,906",772,"50,420","6,483",354,709,"9,487",341,"2,001"
Yorkshire and The Humber,Craven,"25,721","3,790",19,708,614,155,"14,421","1,543",122,349,"3,829",171,"2,001"
Yorkshire and The Humber,Doncaster,"118,362","9,220",82,"1,781","11,655",985,"69,189","9,626",455,"3,420","11,497",452,"2,001"
Yorkshire and The Humber,East Riding of Yorkshire,"144,858","14,920",84,"1,759","4,901","1,626","89,007","9,509",596,"7,420","13,967","1,069","2,001"
Yorkshire and The Humber,Hambleton,"41,890","6,297",24,347,798,277,"24,763","2,267",116,"1,525","5,206",270,"2,001"
Yorkshire and The Humber,Harrogate,"75,755","9,553",47,"1,153","2,995",498,"44,307","4,363",301,"1,747","10,367",424,"2,001"
Yorkshire and The Humber,"Kingston upon Hull, City of","95,957","5,196",38,583,"12,294","1,476","45,626","7,817","1,187","11,181","9,960",599,"2,001"
Yorkshire and The Humber,Kirklees,"174,023","14,681",113,"3,163","17,927","1,713","102,638","13,095",793,"1,765","17,570",565,"2,001"
Yorkshire and The Humber,Leeds,"322,831","23,974",274,"4,980","55,527","2,303","171,283","23,217","2,313","4,189","33,844",927,"2,001"
Yorkshire and The Humber,North East Lincolnshire,"65,832","4,319",26,353,"4,989",953,"37,063","5,474",583,"5,038","6,569",465,"2,001"
Yorkshire and The Humber,North Lincolnshire,"68,083","5,659",26,280,"2,005","1,092","43,190","5,171",218,"3,793","6,289",360,"2,001"
Yorkshire and The Humber,Richmondshire,"24,124","3,620",13,168,636,162,"12,543","1,421",93,573,"4,405",490,"2,001"
Yorkshire and The Humber,Rotherham,"106,489","7,391",501,724,"12,747",944,"64,948","8,821",331,"1,007","8,751",324,"2,001"
Yorkshire and The Humber,Ryedale,"24,184","4,329",9,218,537,215,"13,168","1,353",44,"1,028","3,121",162,"2,001"
Yorkshire and The Humber,Scarborough,"44,976","5,469",31,371,"2,273",470,"22,177","3,454",304,"1,111","8,946",370,"2,001"
Yorkshire and The Humber,Selby,"37,885","4,082",21,741,"1,565",435,"24,000","2,253",65,"1,440","3,135",148,"2,001"
Yorkshire and The Humber,Sheffield,"218,493","15,313","6,104","1,613","38,801","1,535","114,397","14,100",716,"2,365","22,774",775,"2,001"
Yorkshire and The Humber,Wakefield,"138,021","9,544",63,"2,609","13,185","1,397","81,685","11,585",705,"2,001","14,853",394,"2,001"
Yorkshire and The Humber,York,"87,305","6,871",57,"1,343","6,313","1,531","42,065","4,799",440,"10,508","13,049",329,"2,001"
East Midlands,Amber Valley,"54,657","4,759",16,406,"2,567",757,"35,215","3,998",181,833,"5,746",179,"2,001"
East Midlands,Ashfield,"48,949","3,499",14,628,"3,576",573,"29,655","3,957",214,"1,381","5,301",151,"2,001"
East Midlands,Bassetlaw,"46,145","4,278",18,412,"1,389",497,"29,067","3,615",112,"1,609","4,929",219,"2,001"
East Midlands,Blaby,"47,136","4,300",27,331,"3,314",538,"31,170","2,933",84,"1,363","2,931",145,"2,001"
East Midlands,Bolsover,"29,451","2,310",39,212,"1,687",337,"19,003","2,391",73,387,"2,920",92,"2,001"
East Midlands,Boston,"25,066","2,391",15,69,449,375,"14,709","2,015",73,"2,523","2,311",136,"2,001"
East Midlands,Broxtowe,"51,262","4,028",25,462,"5,382",698,"30,601","3,058",117,"2,210","4,546",135,"2,001"
East Midlands,Charnwood,"73,367","6,618",52,948,"4,399",877,"44,950","4,626",125,"2,999","7,514",259,"2,001"
East Midlands,Chesterfield,"42,930","3,180",34,316,"3,853",461,"25,516","3,656",300,657,"4,834",123,"2,001"
East Midlands,Corby,"24,749","1,466",8,138,"2,220",179,"14,219","2,868",587,880,"2,105",79,"2,001"
East Midlands,Daventry,"36,859","4,342",20,435,650,321,"24,642","2,307",97,559,"3,323",163,"2,001"
East Midlands,Derby,"95,451","6,513",37,773,"8,916","1,321","54,329","6,901",715,"4,233","11,413",300,"2,001"
East Midlands,Derbyshire Dales,"33,445","4,682",35,322,965,199,"20,507","2,068",74,339,"4,039",215,"2,001"
East Midlands,East Lindsey,"53,433","6,922",22,157,"1,315",544,"30,712","3,300",239,"2,519","7,271",432,"2,001"
East Midlands,East Northamptonshire,"38,395","3,789",23,482,738,323,"25,815","2,608",110,729,"3,657",121,"2,001"
East Midlands,Erewash,"52,480","3,951",13,660,"3,721",827,"31,937","3,567",177,"2,330","5,140",157,"2,001"
East Midlands,Gedling,"54,355","4,474",27,284,"8,268",542,"31,762","3,483",169,"1,032","4,161",153,"2,001"
East Midlands,Harborough,"39,815","4,868",19,510,853,306,"26,183","1,939",98,"1,097","3,747",195,"2,001"
East Midlands,High Peak,"43,698","4,472",38,"1,931","1,386",358,"26,090","2,736",217,549,"5,728",193,"2,001"
East Midlands,Hinckley and Bosworth,"51,317","4,982",14,278,"1,819",553,"33,879","3,256",144,"1,538","4,699",155,"2,001"
East Midlands,Kettering,"41,282","3,448",25,545,"1,479",362,"26,804","3,024",120,876,"4,475",124,"2,001"
East Midlands,Leicester,"111,580","8,397",96,905,"16,990",769,"52,968","8,467",447,"4,462","17,660",419,"2,001"
East Midlands,Lincoln,"37,299","2,401",26,193,"2,742",549,"19,192","3,039",295,"2,648","6,061",153,"2,001"
East Midlands,Mansfield,"40,607","2,881",9,392,"2,846",416,"25,025","3,727",244,702,"4,214",151,"2,001"
East Midlands,Melton,"24,097","2,713",13,220,682,219,"15,181","1,445",48,741,"2,739",96,"2,001"
East Midlands,Newark and Sherwood,"47,352","4,995",26,523,"1,937",522,"28,972","3,197",142,"2,430","4,425",183,"2,001"
East Midlands,North East Derbyshire,"44,438","4,080",210,228,"3,398",436,"28,859","3,385",80,349,"3,240",173,"2,001"
East Midlands,North Kesteven,"44,070","4,580",44,428,"1,844",602,"27,329","2,568",84,"2,436","3,940",215,"2,001"
East Midlands,North West Leicestershire,"41,919","4,000",20,115,"1,281",576,"28,580","2,685",119,884,"3,477",182,"2,001"
East Midlands,Northampton,"96,395","7,182",67,"1,222","6,888",705,"58,956","7,898",511,"2,750","9,909",307,"2,001"
East Midlands,Nottingham,"101,697","6,785",65,693,"21,758",846,"45,407","6,310",712,"3,731","14,980",410,"2,001"
East Midlands,Oadby and Wigston,"26,651","2,128",15,173,"2,624",250,"16,186","1,864",69,849,"2,430",63,"2,001"
East Midlands,Rushcliffe,"52,086","5,324",24,458,"5,146",417,"32,943","2,650",84,"1,495","3,398",147,"2,001"
East Midlands,Rutland,"16,566","2,166",19,229,174,154,"9,787",805,29,811,"2,279",113,"2,001"
East Midlands,South Derbyshire,"39,998","3,699",11,208,"1,361",541,"27,554","2,693",134,755,"2,918",124,"2,001"
East Midlands,South Holland,"35,009","4,065",13,247,590,415,"22,507","2,507",50,"2,000","2,427",188,"2,001"
East Midlands,South Kesteven,"61,060","6,256",35,942,"1,836",662,"37,658","4,058",332,"2,489","6,554",238,"2,001"
East Midlands,South Northamptonshire,"42,098","4,983",31,679,784,319,"28,978","2,526",76,651,"2,919",152,"2,001"
East Midlands,Wellingborough,"35,050","3,056",22,517,"1,228",278,"22,385","2,855",349,644,"3,591",125,"2,001"
East Midlands,West Lindsey,"35,514","4,345",20,178,803,394,"22,699","2,275",95,"1,174","3,296",235,"2,001"
West Midlands,Birmingham,"367,141","27,448",818,"9,289","73,658","2,522","190,231","22,628","2,062","5,133","32,265","1,087","2,001"
West Midlands,Bromsgrove,"43,351","4,515",25,"1,109","1,362",367,"29,686","2,546",107,524,"2,993",117,"2,001"
West Midlands,Cannock Chase,"44,000","3,361",24,519,"1,982",479,"29,009","3,949",200,637,"3,727",113,"2,001"
West Midlands,Coventry,"125,724","8,181",77,"1,687","15,014",969,"71,236","10,521",662,"3,573","13,391",413,"2,001"
West Midlands,Dudley,"139,935","10,422",155,"2,390","11,639","1,434","88,747","10,446",359,"1,872","12,101",370,"2,001"
West Midlands,East Staffordshire,"48,417","4,629",19,394,"1,785",469,"29,923","3,439",267,"1,990","5,311",191,"2,001"
West Midlands,"Herefordshire, County of","81,289","12,379",61,426,"2,372",841,"46,944","4,665",271,"3,415","9,479",436,"2,001"
West Midlands,Lichfield,"46,163","5,088",22,"1,226","1,277",376,"30,785","2,856",136,725,"3,543",129,"2,001"
West Midlands,Malvern Hills,"33,414","4,834",24,559,522,345,"21,270","1,995",67,804,"2,837",157,"2,001"
West Midlands,Newcastle-under-Lyme,"54,987","4,527",17,217,"3,281",535,"35,027","4,912",442,782,"5,095",152,"2,001"
West Midlands,North Warwickshire,"30,533","2,944",12,272,"1,082",335,"20,553","2,445",177,383,"2,244",86,"2,001"
West Midlands,Nuneaton and Bedworth,"56,613","3,929",18,357,"2,943",644,"36,462","5,079",194,"1,559","5,266",162,"2,001"
West Midlands,Redditch,"40,258","3,100",16,474,"3,064",379,"25,865","3,149",119,729,"3,258",105,"2,001"
West Midlands,Rugby,"43,284","3,873",24,638,"1,394",524,"27,422","2,957",241,"1,724","4,332",155,"2,001"
West Midlands,Sandwell,"113,562","7,771","1,160","1,734","16,653",920,"61,762","9,105",534,"1,972","11,658",293,"2,001"
West Midlands,Shropshire,"135,436","18,082",74,"1,082","3,563","1,155","79,875","8,568",428,"4,701","17,114",794,"2,001"
West Midlands,Solihull,"93,400","8,549",78,"3,382","9,338",667,"58,736","5,344",287,"1,446","5,312",261,"2,001"
West Midlands,South Staffordshire,"52,427","5,274",81,661,"2,553",458,"36,105","3,290",60,714,"3,070",161,"2,001"
West Midlands,Stafford,"58,761","6,036",22,737,"2,295",593,"36,966","3,890",202,"1,850","5,962",208,"2,001"
West Midlands,Staffordshire Moorlands,"45,596","5,138",12,139,"1,553",402,"29,948","3,333",56,619,"4,201",195,"2,001"
West Midlands,Stoke-on-Trent,"98,817","6,535",22,378,"9,749",953,"56,764","10,178",819,"1,543","11,563",313,"2,001"
West Midlands,Stratford-on-Avon,"56,543","7,482",36,678,"1,009",430,"36,729","3,063",125,"1,443","5,325",223,"2,001"
West Midlands,Tamworth,"37,012","2,765",14,529,"2,140",396,"23,458","3,246",311,"1,042","3,028",83,"2,001"
West Midlands,Telford and Wrekin,"74,380","5,769",32,699,"3,188",764,"47,907","7,116",622,"1,864","6,147",272,"2,001"
West Midlands,Walsall,"105,590","7,940",241,814,"12,547",899,"61,715","8,100",309,"2,155","10,587",283,"2,001"
West Midlands,Warwick,"62,658","6,024",53,"1,215","2,051",540,"39,324","3,790",214,"2,204","7,046",197,"2,001"
West Midlands,Wolverhampton,"94,926","7,084","1,067","1,644","12,129",823,"52,206","7,030",524,"2,534","9,579",306,"2,001"
West Midlands,Worcester,"47,003","3,594",15,638,"2,134",562,"27,348","3,349",119,"2,198","6,917",129,"2,001"
West Midlands,Wychavon,"56,186","7,002",28,644,924,534,"37,215","3,367",115,"1,379","4,766",212,"2,001"
West Midlands,Wyre Forest,"47,161","4,548",15,877,"1,146",529,"30,851","3,580",211,"1,031","4,230",143,"2,001"
East of England,Babergh,"40,296","4,888",50,"1,204","1,318",370,"25,138","2,360",109,"1,090","3,604",165,"2,001"
East of England,Basildon,"77,773","5,452",442,"12,655","3,085",660,"41,725","5,140",707,"1,552","6,119",236,"2,001"
East of England,Bedford,"70,513","6,669",84,"2,740","3,098",587,"42,572","4,191",233,"3,222","6,796",321,"2,001"
East of England,Braintree,"66,092","6,696",117,"5,384","1,522",634,"39,823","3,892",249,"1,366","6,164",245,"2,001"
East of England,Breckland,"55,612","6,377",44,264,"1,215",515,"35,422","3,563",170,"2,314","5,480",248,"2,001"
East of England,Brentwood,"32,807","3,197",342,"6,612",755,295,"17,189","1,420",201,317,"2,376",103,"2,001"
East of England,Broadland,"57,964","5,656",38,453,"3,912","1,037","37,048","3,631",117,"2,594","3,083",395,"2,001"
East of England,Broxbourne,"43,482","3,506",746,"4,976","1,141",622,"26,203","2,174",456,619,"2,905",134,"2,001"
East of England,Cambridge,"49,236","4,217",95,"1,523","2,549",609,"18,441","1,827",157,"12,758","6,890",170,"2,001"
East of England,Castle Point,"41,035","3,252",100,"5,830","1,766",448,"24,182","2,241",183,690,"2,254",89,"2,001"
East of England,Central Bedfordshire,"121,032","11,744",123,"5,847","3,082","1,152","79,329","6,792",284,"2,726","9,553",400,"2,001"
East of England,Chelmsford,"80,257","7,178",219,"9,714","3,070",772,"45,004","4,041",185,"2,820","7,003",251,"2,001"
East of England,Colchester,"75,126","6,880",111,"5,210","4,587",827,"41,528","4,310",264,"3,227","7,652",530,"2,001"
East of England,Dacorum,"69,313","6,745",327,"4,132","2,665",699,"42,888","3,858",285,836,"6,646",232,"2,001"
East of England,East Cambridgeshire,"37,208","4,082",37,947,854,381,"24,874","2,204",55,"1,376","2,258",140,"2,001"
East of England,East Hertfordshire,"67,534","6,766",331,"6,692","1,240",623,"41,445","3,098",310,"1,035","5,793",201,"2,001"
East of England,Epping Forest,"57,853","5,671","8,792","2,572","1,350",736,"31,844","2,316",652,433,"3,297",190,"2,001"
East of England,Fenland,"37,757","3,697",24,419,832,347,"24,003","2,843",138,"2,534","2,746",174,"2,001"
East of England,Forest Heath,"28,298","2,421",18,111,575,244,"18,540","1,826",124,"1,308","2,988",143,"2,001"
East of England,Great Yarmouth,"37,584","3,338",23,254,"2,532",486,"21,121","2,550",218,"1,815","4,365",882,"2,001"
